name,artist,genre,intensity,focusing
Pent Up House,Chet Baker,Jazz,4,1
Indian Summer,Chet Baker,Jazz,3,1
My Old Flame,Chet Baker,Jazz,2,1
Fair Weather,Chet Baker,Jazz,4,1
Polka Dots And Moonbeams,Chet Baker,Jazz,2,1
On The Street Where You Live,Chet Baker,Jazz,3,1
Almost Like Being In Love,Chet Baker,Jazz,4,1
Thank Heaven For Little Girls,Chet Baker,Jazz,3,1
I Talk To The Trees,Chet Baker,Jazz,3,1
There Will Never Be Another You (Version 2),Chet Baker,Jazz,3,0
Secret Love (Live),Chet Baker,Jazz,4,1
Street Of Dreams,Chet Baker,Jazz,3,1
Sad Walk,Chet Baker,Jazz,3,1
Piece Caprice,Chet Baker,Jazz,3,1
The Girl From Greenland,Chet Baker,Jazz,4,1
Anticipated Blues,Chet Baker,Jazz,4,1
Chet,Chet Baker,Jazz,3,1
Don't Explain,Chet Baker,Jazz,2,1
Baby Breeze,Chet Baker,Jazz,3,1
This Is The Thing,Chet Baker,Jazz,4,0
Comin' Down,Chet Baker,Jazz,4,1
I Wish You Love,Chet Baker,Jazz,3,1
The Night We Called It A Day,Chet Baker,Jazz,3,0
Embraceable You,Chet Baker,Jazz,2,0
Forgetful (Version 2),Chet Baker,Jazz,2,0
Little Girl Blue (Vocal Version),Chet Baker,Jazz,2,0
Trav'lin' Light,Chet Baker,Jazz,3,1
Do It The Hard Way,Chet Baker,Jazz,3,0
Everything Happens To Me (Version 1),Chet Baker,Jazz,3,0
How Long Has This Been Going On (Version 2),Chet Baker,Jazz,3,0
Moon & Sand,Chet Baker,Jazz,3,0
I Don't Stand A Ghost Of A Chance With You,Chet Baker,Jazz,2,0
My One And Only Love,Chet Baker,Jazz,3,0
Serenity,Chet Baker,Jazz,3,1
Have You Met Miss Jones?,Chet Baker,Jazz,4,1
Rearin' Back,Chet Baker,Jazz,3,1
So Easy,Chet Baker,Jazz,4,1
Cut Plug,Chet Baker,Jazz,4,1
Boudoir,Chet Baker,Jazz,4,1
The Song Is You (Version 2),Chet Baker,Jazz,4,0
Once Upon A Summertime (La Valse Des Lilas),Chet Baker,Jazz,4,1
Lady Be Good (Live),Chet Baker,Jazz,3,1
All The Things You Are (Live),Chet Baker,Jazz,4,1
There Is No Greater Love (Live),Chet Baker,Jazz,3,1
The Theme (Live),Chet Baker,Jazz,4,1
Everything Happens To Me (Version 3),Chet Baker,Jazz,2,0
That Old Feeling,Chet Baker,Jazz,3,0
My Ideal,Chet Baker,Jazz,2,0
Goodbye,Chet Baker,Jazz,2,1
Cherokee,Chet Baker,Jazz,4,1
Bevan Beep,Chet Baker,Jazz,3,1
Stairway To The Stairs,Chet Baker,Jazz,2,1
No Fair Lady,Chet Baker,Jazz,3,1
I Waited For You,Chet Baker,Jazz,3,1
Witchcraft (Live),Chet Baker,Jazz,4,1
Time After Time (Instrumental Version),Chet Baker,Jazz,2,1
My Funny Valentine (Instrumental Version),Chet Baker,Jazz,2,1
There Will Never Be Another You (Version 1),Chet Baker,Jazz,3,1
A Night On Bop Mountain,Chet Baker,Jazz,4,1
Taboo,Chet Baker,Jazz,4,1
It's Only A Paper Moon,Chet Baker,Jazz,4,1
Autumn In New York (Version 1),Chet Baker,Jazz,4,1
This Time The Dream's On Me,Chet Baker Quartet Featuring Russ Freeman,Jazz,4,1
Maid In Mexico,Chet Baker Quartet Featuring Russ Freeman,Jazz,4,1
No Ties (12' LP Take),Chet Baker Quartet Featuring Russ Freeman,Jazz,4,1
All The Things You Are,Chet Baker Quartet Featuring Russ Freeman,Jazz,4,1
The Thrill Is Gone (12' LP Take),Chet Baker Quartet Featuring Russ Freeman,Jazz,3,1
Moon Love (10' LP Take),Chet Baker Quartet Featuring Russ Freeman,Jazz,2,1
Moon Love (12' LP Take),Chet Baker Quartet Featuring Russ Freeman,Jazz,3,1
Happy Little Sunbeam,Chet Baker Quartet Featuring Russ Freeman,Jazz,4,1
I Fall In Love Too Easily (Version 1),Chet Baker Quartet Featuring Russ Freeman,Jazz,2,0
Winter Wonderland (78 Take),Chet Baker Quartet Featuring Russ Freeman,Jazz,4,0
Winter Wonderland (LP Take),Chet Baker Quartet Featuring Russ Freeman,Jazz,4,1
This Is Always,Chet Baker Quintet,Jazz,3,0
Night In Tunisia (Live),Chet Baker Quintet,Jazz,3,1
Red Gradations,Chicago Underground Duo,Indie Rock,3,1
La playa,Chris Brokaw,Rock,3,1
On A Great Lake,Chris Brokaw,Indie Rock,3,1
Topsfield State Fair,Chris Brokaw,Ambient Rock,4,1
Dresden Promenade,Chris Brokaw,Ambient Rock,5,1
Dust Breeding,Christian Marclay,Art Music,5,0
4010,Christie Front Drive,Indie Rock,5,0
Needle Gun (Silence),Ciccone Youth,Indie Rock,5,0
Children Of Satan / Third Fig,Ciccone Youth,Indie Rock,5,1
March Of The Ciccone Robots,Ciccone Youth,Indie Rock,5,0
The Newport Blues,Cincinnati Jug Band,Folk,3,1
On The Wings (White Rainbow Remix),Citay,Indie Rock,3,1
Henryk Lees,Civyiu Kkliu,Electronic,5,0
Bad Display,Ckid,Electronic,3,1
Blue Turning Gray,Clap Your Hands Say Yeah,Rock,3,1
Upon Encountering The Crippled Elephant,Clap Your Hands Say Yeah,Indie Rock,3,0
Shepherds Delight,The Clash,Rock,4,1
Listen,The Clash,Punk,4,1
Time Is Tight,The Clash,Punk,4,1
The Magnificent Dance,The Clash,Punk,4,1
Nocturnes: II. Fetes,Claude Debussy,Classical,4,1
At The Bottom,The Clean,Indie Rock,5,1
Wipe Me; I'm Lucky,The Clean,Indie Rock,4,1
Balkans,The Clean,Indie Rock,3,1
I Come From Jamaica,Clifford Brown,Jazz,4,1
Night In Tunisia (Live),Clifford Brown,Jazz,4,1
Voodoo Wop,Clinic,Indie Rock,4,1
The Majestic,Clinic,Rock,4,0
Fingers,Clinic,Indie Rock,5,0
Evil Bill,Clinic,Indie Rock,4,1
Summer Overture,Clint Mansell & Kronos Quartet,Soundtrack Music,5,1
Chocolate Charms,Clint Mansell & Kronos Quartet,Soundtrack Music,3,0
Ghosts Of Things To Come,Clint Mansell & Kronos Quartet,Soundtrack Music,3,1
High On Life,Clint Mansell & Kronos Quartet,Soundtrack Music,4,0
Hope Overture,Clint Mansell & Kronos Quartet,Soundtrack Music,4,1
Ghosts-Falling,Clint Mansell & Kronos Quartet,Soundtrack Music,4,0
Marion Barfs,Clint Mansell & Kronos Quartet,Soundtrack Music,5,1
Supermarket Sweep,Clint Mansell & Kronos Quartet,Soundtrack Music,5,0
Southern Hospitality,Clint Mansell & Kronos Quartet,Soundtrack Music,5,1
Fear,Clint Mansell & Kronos Quartet,Soundtrack Music,4,0
Lux Aeterna,Clint Mansell & Kronos Quartet,Soundtrack Music,4,1
Pencil Stick,Clogs,Art Music,4,1
Mount Everest Horizontal,Console,Electronic,4,1
Stella,Continental,Electronic,3,1
Profecia (ou Testamento da Ira),Cordel Do Fogo Encantado,Classical,4,1
Jenny In The Cotton Patch / Sally In The Garden / Callahan,Cordelia's Dad,Folk,4,1
La Reel à Neuf / La Reel à Philibert,Cordelia's Dad,Folk,3,1
Come Little Child,Corina Nolting,World Music,2,1
Father Murphy,Cornelius Cardew,Classical,4,1
Charge,Cornelius Cardew,Classical,4,1
Sailing The Seas Depends On The Helmsman,Cornelius Cardew,Classical,4,1
East Is Red,Cornelius Cardew,Classical,4,1
Red Flag Prelude,Cornelius Cardew,Classical,3,1
Heavy Soup (Outro),Cornershop,Rock,3,1
Those Panama Mamas,The Cotton Pickers (1922),Early Pop,4,1
Gegen den,Couch,Indie Rock,5,1
Alle auf Pause,Couch,Rock,4,1
Was alles hält,Couch,Rock,3,1
Roseland Shuffle,Count Basie,Jazz,4,1
The Glory Of Love,Count Basie,Jazz,4,1
Boogie Woogie (I May Be Wrong),Count Basie,Jazz,4,0
John's Idea,Count Basie,Jazz,4,1
Good Morning Blues (Second Take),Count Basie,Jazz,3,0
Time Out,Count Basie,Jazz,4,1
One O'Clock Jump (Version 1),Count Basie,Jazz,4,1
Poorboy Shuffle,Creedence Clearwater Revival,Rock,4,1
She Loves Me Not,Creeper Lagoon,Indie Rock,3,1
Screaming Chrome,Crocodiles,Indie Rock,3,1
Flying Music From Faust,Cul de Sac,Art Music,4,0
Militant March,Curtis Mayfield,Funk,3,1
DD-5,Cut Copy,Electronic,3,1
Windowlicker,Maxence Cyrin,Rock,4,1
Modomma Damang,Cyrus Fidelus Sidjabat,World Music,2,1
Subversion,D'or Belle,Electronic,4,1
Hex Text,Dada Munchamonkey,Electronic,3,1
Mpiarak Aomby,Dama & D'Gary,World Music,3,1
Thumper,Dan Friel,Punk,5,0
Valedictorian,Dan Friel,Indie Rock,5,1
My Guru,Dan The Automator,Hip-Hop,3,1
Down In The Willow,Dan Tyminski,Bluegrass,3,1
Hey Everyone,Dananananaykroyd,Indie Rock,5,1
Sun Over Old Rag,Daniel Bachman,Folk,4,1
Guitar Voodoo,The Darkside,Rock,5,1
In The Beginning,Daughn Gibson,Indie Rock,3,0
The Day You Were Born,Daughn Gibson,Indie Rock,3,0
I'll Never Smile Again,Dave Brubeck,Jazz,3,1
In A Lightless Carriage,Dave Fischoff,Indie Rock,4,1
The Matrimony Vine,Dave Fischoff,Indie Rock,4,1
Last Room,Dave Fischoff,Indie Rock,4,0
Theme From Ghost World,David Kitay,Soundtrack Music,3,1
Dudouk Melody (A Cool Wind Is Blowing),David Robbins,World Music,3,1
Pressure,dDamage,Electronic,5,1
No Particular Night Or Morning,Deadhorse,Ambient Rock,5,1
Dreaming In The Face Of Disaster,Deadhorse,Ambient Rock,5,1
Exiles,Deadhorse,Ambient Rock,5,1
New Bones,Deadhorse,Ambient Rock,5,1
Last Night Of The World,Deadhorse,Ambient Rock,5,1
Light Powered,Deastro,Electronic,4,1
I Will Follow You Into The Dark,Death Cab For Cutie,Indie Rock,2,0
Nata Raaj,Debashish Bhattacharya,World Music,4,1
Sound The Alarm,Deerhoof,Rock,4,1
Hark The Umpire,Deerhoof,Rock,5,0
Cooper,Deerhoof,Rock,5,0
RedFiveStandingBy,Del Rey,Indie Rock,4,1
Vega (Version 1),Del Rey,Indie Rock,4,1
Intergirl,Del Rey,Indie Rock,5,0
Welcome-Begin,Delicate Steve,Indie Rock,4,1
WONDERVISIONS,Delicate Steve,Indie Rock,4,1
Don't Get Stuck (Proud Elephants),Delicate Steve,Indie Rock,3,1
Source ((Bridge)),Delicate Steve,Indie Rock,4,0
Butterfly,Delicate Steve,Indie Rock,5,1
Flyin' High,Delicate Steve,Indie Rock,4,1
Ethanopium,Dengue Fever,World Music,4,1
Invidium,Derevo,Electronic,4,1
Bedroom Scene,Derevo,Electronic,3,1
Theme,Descendents,Punk,4,0
Toil And Joy,Devotionals,Indie Rock,4,1
Morning Due,Devotionals,Indie Rock,3,1
Buildings Of Heart,Devotionals,Indie Rock,3,1
Gurdjieff Girl,Dex Romweber Duo,Rock,4,1
Jungle Drums,Dex Romweber Duo,Rock,5,0
Nabonga,Dexter Romweber,Rock,4,0
Bombora,Dexter Romweber,Rock,5,0
What Is Your Landmass? (Version 2),Dianogah,Indie Rock,4,1
Between The Ship And The Land,Dianogah,Indie Rock,3,1
Sometimes There Are Birds,Dianogah,Indie Rock,3,1
Indie Rock Spock Ears,Dianogah,Indie Rock,3,1
They Have Monkeys Like We Have Squirrels,Dianogah,Indie Rock,4,1
My Brother Wore Brown,Dianogah,Indie Rock,4,1
Sometimes There Used To Be Birds,Dianogah,Indie Rock,4,1
Take Care; Olaf,Dianogah,Rock,3,1
The Sky Came Down To The Rooftops,Dianogah,Indie Rock,3,1
Strongdar,Dianogah,Indie Rock,3,1
Maple Leaf Rag,Dick Hyman,Jazz,4,1
Peacherine Rag,Dick Hyman,Jazz,3,1
The Entertainer,Dick Hyman,Jazz,3,1
Weeping Willow,Dick Hyman,Jazz,3,1
Black Nylon,Dirty Beaches,Indie Rock,3,0
She Passed Through,Dirty Three,Indie Rock,4,1
Amy,Dirty Three,Indie Rock,3,1
Cinders,Dirty Three,Indie Rock,4,1
Doris,Dirty Three,Indie Rock,5,1
This Night,Dirty Three,Indie Rock,3,1
Ember,Dirty Three,Indie Rock,4,1
Michele,Dirty Three,Indie Rock,3,1
Feral,Dirty Three,Indie Rock,4,1
Last Dance,Dirty Three,Indie Rock,3,1
Dirty Equation,Dirty Three,Indie Rock,5,1
1000 Miles,Dirty Three,Indie Rock,4,1
Obvious Is Obvious,Dirty Three,Indie Rock,3,1
Backwards Voyager,Dirty Three,Ambient Rock,3,1
Last Horse On The Sand,Dirty Three,Ambient Rock,3,1
Sea Above; Sky Below,Dirty Three,Ambient Rock,3,1
Black Tide,Dirty Three,Ambient Rock,3,1
Deep Waters,Dirty Three,Ambient Rock,4,1
Ends Of The Earth,Dirty Three,Ambient Rock,3,1
Kim's Dirt (Version 1),Dirty Three,Rock,3,0
Killy Kundane,Dirty Three,Rock,4,1
Short Break,Dirty Three,Rock,5,0
Turk,Dirty Three,Rock,5,1
Some Things I Just Don't Want To Know,Dirty Three,Rock,4,1
Lullabye For Christie,Dirty Three,Rock,4,1
Southern Shout,Dixieland Jug Blowers,Early Pop,5,1
Exactly Like You,Django Reinhardt,Jazz,3,1
Body And Soul,Django Reinhardt,Jazz,4,1
Life Is Full Of Possibilities,Dntel,Electronic,3,1
Fear Of Corners,Dntel,Electronic,3,1
Fence,Dntel,Electronic,4,0
Minmin,Do Make Say Think,Indie Rock,4,1
I Love,Do Make Say Think,Indie Rock,4,1
When Day Chokes The Night,Do Make Say Think,Indie Rock,5,0
Schottische Time,Dock Boggs,Folk,3,1
Coke Oven March,Dock Boggs,Folk,3,1
For Respect,Don Caballero,Rock,5,0
Subdued Confections,Don Caballero,Rock,5,1
Well Built Road,Don Caballero,Rock,5,1
Delivering The Groceries At 138 Beats Per Minute,Don Caballero,Rock,5,0
Room Temperature Suite,Don Caballero,Rock,4,0
The World In Perforated Lines,Don Caballero,Rock,5,0
Man In The Street,Don Drummond,Ska,4,1
Sound As Steel,Don Fleming,Rock,3,1
Hallo Gallo,Download,Electronic,4,1
Ditch Witch,DQE,Rock,4,0
Rabbit,Drunken Boat,Rock,5,1
Salad Days,Drunken Boat,Rock,3,1
Perdido,Duke Ellington,Jazz,5,0
Fleurette Africaine (African Flower),Duke Ellington & Charlie Mingus & Max Roach,Jazz,3,1
Very Special,Duke Ellington & Charlie Mingus & Max Roach,Jazz,4,1
Warm Valley,Duke Ellington & Charlie Mingus & Max Roach,Jazz,3,1
Caravan,Duke Ellington & Charlie Mingus & Max Roach,Jazz,4,1
Solitude,Duke Ellington & Charlie Mingus & Max Roach,Jazz,3,1
Switch Blade,Duke Ellington & Charlie Mingus & Max Roach,Jazz,3,1
A Little Max (Parfait),Duke Ellington & Charlie Mingus & Max Roach,Jazz,4,1
Rem Blues,Duke Ellington & Charlie Mingus & Max Roach,Jazz,4,1
Backward Country Boy Blues,Duke Ellington & Charlie Mingus & Max Roach,Jazz,3,1
Switch Blade (Alternate Take),Duke Ellington & Charlie Mingus & Max Roach,Jazz,3,1
A Little Max (Parfait) (Alternate Take),Duke Ellington & Charlie Mingus & Max Roach,Jazz,4,1
Rem Blues (Alternate Take),Duke Ellington & Charlie Mingus & Max Roach,Jazz,4,1
Memorial Trauma,Dump,Indie Rock,3,1
Bamboo Bridge Of Life,Duong Kim Loi,World Music,2,1
Commissioner Castration,The Dust Brothers,Electronic,4,1
Pink Diamond,Dustin Wong,Indie Rock,4,1
Tennessee Girls,Dykes Magic City Trio,Country,4,1
Glacier,E Vax,Electronic,4,1
Autumn Wake,Early Day Miners,Indie Rock,2,1
Cascade,The Echelon Effect,Ambient Rock,3,1
Nobility Of Loneliness,The Echelon Effect,Ambient Rock,4,1
What Makes Us So Uncommon,The Echelon Effect,Ambient Rock,4,1
Migration,The Echelon Effect,Ambient Rock,4,1
While You Were Gone,The Echelon Effect,Ambient Rock,3,1
In The Continuum Of Time,The Echelon Effect,Ambient Rock,4,1
Debris,The Echelon Effect,Ambient Rock,3,1
Defying Gravity To Reach You,The Echelon Effect,Ambient Rock,4,1
Fractal,The Echelon Effect,Ambient Rock,4,1
The Defining Distance,The Echelon Effect,Ambient Rock,5,1
Dividing Line,The Echelon Effect,Ambient Rock,3,1
Eddie's Blues,Eddie Cochran,Rock,4,1
Listen Here,Eddie Harris,Jazz,4,1
Sham Time,Eddie Harris,Jazz,4,1
L'accordéoniste (Live) (Version 1),Edith Piaf,Early Pop,4,1
Les feuilles mortes (Autumn Leaves) (Live),Edith Piaf,Early Pop,4,0
Les grognards (Live),Edith Piaf,Early Pop,4,0
L'homme à la moto (Live),Edith Piaf,Early Pop,4,0
Les flonflons du bal (Live),Edith Piaf,Early Pop,4,0
La belle histoire d'amour (Live),Edith Piaf,Early Pop,4,0
Hymne à l'amour,Edith Piaf,Early Pop,4,1
Johnny tu n'es pas un ange,Edith Piaf,Early Pop,4,1
Sous le ciel de Paris,Edith Piaf,Early Pop,3,1
Les flonflons du bal,Edith Piaf,Early Pop,4,0
Le droit d'aimer,Edith Piaf,Early Pop,4,0
Blinking Lights (For You),Eels,Rock,3,1
Payday Polka,Eight Frozen Modules,Electronic,5,0
C.R.E.A.M. (Main),El Michels Affair,Funk,3,1
Too Late To Turn Back,El Michels Affair,Hip-Hop,4,1
Ocho Rios,El Michels Affair,Hip-Hop,3,1
Yennicita,El Michels Affair,Hip-Hop,4,1
Creation,El Michels Affair,Hip-Hop,4,1
This Song's For You,El Michels Affair,Hip-Hop,4,1
Hung Up On My Baby,El Michels Affair,Hip-Hop,3,1
Walk On By,El Michels Affair,Funk,3,1
Right Foot From Left,The Electones,Electronic,3,1
Death With Benefits,The Electones,Electronic,4,1
Jubilee Humming,The Electones,Electronic,3,1
Buddy Ebsen Loves The Night Time,Los Lobos,Rock,4,1
